check,status,measured_value,required_value
accepted_artifact_hashes,pass,22 frozen artifact hashes matched,all registered hashes match
accepted_training_rows,pass,"all columns, types, values, and deterministic row order identical",identical
accepted_training_row_count,pass,433942,433942
accepted_canonical_hash,pass,292eba28ce0a37788945312169c0986c60bc9db5c6308d322bf5f8e073b2ded7,292eba28ce0a37788945312169c0986c60bc9db5c6308d322bf5f8e073b2ded7
