stage,included_rows,excluded_rows,reason
canonical_dataset,1091329,0,none; ambiguous and unmatched joins remain with quality flags
M0,1091329,0,"none; field-goal outcome, point value, and finish are complete"
M1,1091329,0,none; other/unknown is a valid creation category
verified_pre_shot_score,970913,120416,no unique independently score-consistent play-by-play match
