season,schema_version_matches,taxonomy_version_matches,join_version_matches,all_raw_labels_registered,finish_levels_match,creation_levels_match,status
2021-22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,pass
2022-23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,pass
2023-24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,pass
2024-25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,pass
2025-26,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,pass
