season,unique_matches,ambiguous_matches,unmatched_events,unmatched_games,duplicate_candidate_matches,result_comparable,result_disagreements,point_value_comparable,point_value_disagreements,coordinate_comparable,coordinate_disagreements_over_one_foot
2021-22,191079,276,25367,0,360,191079,0,160174,3,191079,8
2022-23,194530,284,22406,0,344,194530,0,162082,7,194530,27
2023-24,196152,262,22286,0,335,196152,0,167022,10,196152,145
2024-25,197846,217,21464,0,265,197846,0,171366,14,197846,153
2025-26,194162,207,24607,184,273,194162,0,166510,15,194162,113
