season,unique_matches,shooter_side_identified,score_sequence_comparable,score_sequence_agreements,score_sequence_disagreements,verified_pre_shot_score_rows,verified_pre_shot_score_share_all_shots,and_one_candidates
2021-22,191079,191079,191079,190165,914,190156,0.8774189976098412,4972
2022-23,194530,194530,194530,193730,800,193703,0.891736488352822,5758
