season,raw_action_type,finish_family,creation_family,shots,share
2022-23,Reverse Layup Shot,layup,other_or_unknown,1400,0.006445078722032962
2022-23,Running Alley Oop Dunk Shot,dunk,drive_cut_or_roll,468,0.002154497744222447
2022-23,Running Alley Oop Layup Shot,layup,drive_cut_or_roll,161,7.411840530337907e-4
2022-23,Running Dunk Shot,dunk,other_or_unknown,2569,0.011826719454930485
2022-23,Running Finger Roll Layup Shot,layup,other_or_unknown,1500,0.006905441487892459
2022-23,Running Jump Shot,regular_jumper,other_or_unknown,4398,0.02024675444250069
2022-23,Running Layup Shot,layup,other_or_unknown,6766,0.031148144738053586
2022-23,Running Pull-Up Jump Shot,regular_jumper,pull_up_or_self_created,2601,0.011974035540005524
2022-23,Running Reverse Dunk Shot,dunk,other_or_unknown,24,1.1048706380627935e-4
2022-23,Running Reverse Layup Shot,layup,other_or_unknown,624,0.002872663658963263
2022-23,Step Back Bank Jump Shot,step_back,pull_up_or_self_created,74,3.4066844673602797e-4
2022-23,Step Back Jump shot,step_back,pull_up_or_self_created,10458,0.048144738053586225
2022-23,Tip Dunk Shot,dunk,putback,822,0.0037841819353650677
2022-23,Tip Layup Shot,layup,putback,4685,0.021567995580517446
2022-23,Turnaround Bank Hook Shot,hook,other_or_unknown,201,9.253291593775896e-4
2022-23,Turnaround Bank shot,fadeaway_or_turnaround,other_or_unknown,306,0.0014087100635300617
2022-23,Turnaround Fadeaway Bank Jump Shot,fadeaway_or_turnaround,other_or_unknown,100,4.6036276585949726e-4
2022-23,Turnaround Fadeaway shot,fadeaway_or_turnaround,other_or_unknown,3214,0.014796059294724244
2022-23,Turnaround Hook Shot,hook,other_or_unknown,2546,0.0117208360187828
2022-23,Turnaround Jump Shot,fadeaway_or_turnaround,other_or_unknown,2868,0.013203204124850381
