season,unique_matches,ambiguous_matches,unmatched_events,unmatched_games,duplicate_candidate_matches,result_comparable,result_disagreements,point_value_comparable,point_value_disagreements,coordinate_comparable,coordinate_disagreements_over_one_foot
2021-22,191079,276,25367,0,360,191079,0,160174,3,191079,8
2022-23,194530,284,22406,0,344,194530,0,162082,7,194530,27
