season,games,shots,players,made_shots,two_point_attempts,three_point_attempts,realized_field_goal_points,raw_action_labels,expected_games,expected_shots
2021-22,1230,216722,596,99930,130187,86535,230458,46,1230,216722
2022-23,1230,217220,537,103260,133056,84164,236879,48,1230,217220
