model_id,distance_basis_dimension,distance_effective_degrees_freedom,distance_smoothing_parameter,k_index,k_p_value,k_action,k_10_adequate
D1,10,7.555070276295971,2.266533067962984,0.9100849154204044,0,retain_k_10,TRUE
M2,10,7.358357943383011,3.2539276528727306,0.9670483438179122,0.01,retain_k_10,TRUE
