model_id,group_keys,grouped_rows,grouped_attempts,grouped_makes,grouped_misses,complete_attempt_reproduction,validation_rows_loaded
D1,player_id_factor;point_value_factor;shot_distance_feet,18396,433942,203190,230752,TRUE,0
M2,player_id_factor;point_value_factor;finish_family;creation_family;shot_distance_feet,57190,433942,203190,230752,TRUE,0
