x,y,zone,n_polygons,landed_in,defect,source
-51,137.5,paint,1,mid_center,disagreement,grid
-50.75,137.5,paint,1,mid_center,disagreement,grid
-50.5,137.5,paint,1,mid_center,disagreement,grid
-50.25,137.5,paint,1,mid_center,disagreement,grid
-50,137.5,paint,1,mid_center,disagreement,grid
-49.75,137.5,paint,1,mid_center,disagreement,grid
-49.5,137.5,paint,1,mid_center,disagreement,grid
-49.25,137.5,paint,1,mid_center,disagreement,grid
-49,137.5,paint,1,mid_center,disagreement,grid
-48.75,137.5,paint,1,mid_center,disagreement,grid
-48.5,137.5,paint,1,mid_center,disagreement,grid
-48.25,137.5,paint,1,mid_center,disagreement,grid
-48,137.5,paint,1,mid_center,disagreement,grid
-47.75,137.5,paint,1,mid_center,disagreement,grid
-47.5,137.5,paint,1,mid_center,disagreement,grid
-47.25,137.5,paint,1,mid_center,disagreement,grid
-47,137.5,paint,1,mid_center,disagreement,grid
-46.75,137.5,paint,1,mid_center,disagreement,grid
-46.5,137.5,paint,1,mid_center,disagreement,grid
-46.25,137.5,paint,1,mid_center,disagreement,grid
-46,137.5,paint,1,mid_center,disagreement,grid
-45.75,137.5,paint,1,mid_center,disagreement,grid
-45.5,137.5,paint,1,mid_center,disagreement,grid
-45.25,137.5,paint,1,mid_center,disagreement,grid
-45,137.5,paint,1,mid_center,disagreement,grid
-44.75,137.5,paint,1,mid_center,disagreement,grid
-44.5,137.5,paint,1,mid_center,disagreement,grid
-44.25,137.5,paint,1,mid_center,disagreement,grid
-44,137.5,paint,1,mid_center,disagreement,grid
-43.75,137.5,paint,1,mid_center,disagreement,grid
-43.5,137.5,paint,1,mid_center,disagreement,grid
-43.25,137.5,paint,1,mid_center,disagreement,grid
-43,137.5,paint,1,mid_center,disagreement,grid
-42.75,137.5,paint,1,mid_center,disagreement,grid
-42.5,137.5,paint,1,mid_center,disagreement,grid
-42.25,137.5,paint,1,mid_center,disagreement,grid
-42,137.5,paint,1,mid_center,disagreement,grid
-41.75,137.5,paint,1,mid_center,disagreement,grid
-41.5,137.5,paint,1,mid_center,disagreement,grid
-41.25,137.5,paint,1,mid_center,disagreement,grid
-41,137.5,paint,1,mid_center,disagreement,grid
-40.75,137.5,paint,1,mid_center,disagreement,grid
-40.5,137.5,paint,1,mid_center,disagreement,grid
-40.25,137.5,paint,1,mid_center,disagreement,grid
-40,137.5,paint,1,mid_center,disagreement,grid
-39.75,137.5,paint,1,mid_center,disagreement,grid
-39.5,-6.25,rim,1,paint,disagreement,grid
-39.5,6.25,rim,1,paint,disagreement,grid
-39.5,137.5,paint,1,mid_center,disagreement,grid
-39.25,137.5,paint,1,mid_center,disagreement,grid
-39,137.5,paint,1,mid_center,disagreement,grid
-38.75,137.5,paint,1,mid_center,disagreement,grid
-38.5,137.5,paint,1,mid_center,disagreement,grid
-38.25,137.5,paint,1,mid_center,disagreement,grid
-38,137.5,paint,1,mid_center,disagreement,grid
-37.75,137.5,paint,1,mid_center,disagreement,grid
-37.5,137.5,paint,1,mid_center,disagreement,grid
-37.25,137.5,paint,1,mid_center,disagreement,grid
-37,137.5,paint,1,mid_center,disagreement,grid
-36.75,-15.75,rim,1,paint,disagreement,grid
-36.75,15.75,rim,1,paint,disagreement,grid
-36.75,137.5,paint,1,mid_center,disagreement,grid
-36.5,137.5,paint,1,mid_center,disagreement,grid
-36.25,137.5,paint,1,mid_center,disagreement,grid
-36,137.5,paint,1,mid_center,disagreement,grid
-35.75,137.5,paint,1,mid_center,disagreement,grid
-35.5,137.5,paint,1,mid_center,disagreement,grid
-35.25,137.5,paint,1,mid_center,disagreement,grid
-35,137.5,paint,1,mid_center,disagreement,grid
-34.75,137.5,paint,1,mid_center,disagreement,grid
-34.5,137.5,paint,1,mid_center,disagreement,grid
-34.25,137.5,paint,1,mid_center,disagreement,grid
-34,137.5,paint,1,mid_center,disagreement,grid
-33.75,137.5,paint,1,mid_center,disagreement,grid
-33.5,137.5,paint,1,mid_center,disagreement,grid
-33.25,137.5,paint,1,mid_center,disagreement,grid
-33,137.5,paint,1,mid_center,disagreement,grid
-32.75,137.5,paint,1,mid_center,disagreement,grid
-32.5,137.5,paint,1,mid_center,disagreement,grid
-32.25,137.5,paint,1,mid_center,disagreement,grid
-32,137.5,paint,1,mid_center,disagreement,grid
-31.75,137.5,paint,1,mid_center,disagreement,grid
-31.5,137.5,paint,1,mid_center,disagreement,grid
-31.25,137.5,paint,1,mid_center,disagreement,grid
-31,-25.25,rim,1,paint,disagreement,grid
-31,25.25,rim,1,paint,disagreement,grid
-31,137.5,paint,1,mid_center,disagreement,grid
-30.75,137.5,paint,1,mid_center,disagreement,grid
-30.5,137.5,paint,1,mid_center,disagreement,grid
-30.25,137.5,paint,1,mid_center,disagreement,grid
-30,137.5,paint,1,mid_center,disagreement,grid
-29.75,137.5,paint,1,mid_center,disagreement,grid
-29.5,-27,rim,1,paint,disagreement,grid
-29.5,27,rim,1,paint,disagreement,grid
-29.5,137.5,paint,1,mid_center,disagreement,grid
-29.25,137.5,paint,1,mid_center,disagreement,grid
-29,137.5,paint,1,mid_center,disagreement,grid
-28.75,137.5,paint,1,mid_center,disagreement,grid
-28.5,137.5,paint,1,mid_center,disagreement,grid
-28.25,137.5,paint,1,mid_center,disagreement,grid
-28,137.5,paint,1,mid_center,disagreement,grid
-27.75,137.5,paint,1,mid_center,disagreement,grid
-27.5,137.5,paint,1,mid_center,disagreement,grid
-27.25,137.5,paint,1,mid_center,disagreement,grid
-27,-29.5,rim,1,paint,disagreement,grid
-27,29.5,rim,1,paint,disagreement,grid
-27,137.5,paint,1,mid_center,disagreement,grid
-26.75,137.5,paint,1,mid_center,disagreement,grid
-26.5,137.5,paint,1,mid_center,disagreement,grid
-26.25,137.5,paint,1,mid_center,disagreement,grid
-26,137.5,paint,1,mid_center,disagreement,grid
-25.75,137.5,paint,1,mid_center,disagreement,grid
-25.5,137.5,paint,1,mid_center,disagreement,grid
-25.25,-31,rim,1,paint,disagreement,grid
-25.25,31,rim,1,paint,disagreement,grid
-25.25,137.5,paint,1,mid_center,disagreement,grid
-25,137.5,paint,1,mid_center,disagreement,grid
-24.75,137.5,paint,1,mid_center,disagreement,grid
-24.5,137.5,paint,1,mid_center,disagreement,grid
-24.25,137.5,paint,1,mid_center,disagreement,grid
-24,137.5,paint,1,mid_center,disagreement,grid
-23.75,137.5,paint,1,mid_center,disagreement,grid
-23.5,137.5,paint,1,mid_center,disagreement,grid
-23.25,137.5,paint,1,mid_center,disagreement,grid
-23,137.5,paint,1,mid_center,disagreement,grid
-22.75,137.5,paint,1,mid_center,disagreement,grid
-22.5,137.5,paint,1,mid_center,disagreement,grid
-22.25,137.5,paint,1,mid_center,disagreement,grid
-22,137.5,paint,1,mid_center,disagreement,grid
-21.75,137.5,paint,1,mid_center,disagreement,grid
-21.75,236.5,mid_center,1,arc3_top,disagreement,grid
-21.5,137.5,paint,1,mid_center,disagreement,grid
-21.25,137.5,paint,1,mid_center,disagreement,grid
-21,137.5,paint,1,mid_center,disagreement,grid
-20.75,137.5,paint,1,mid_center,disagreement,grid
-20.5,137.5,paint,1,mid_center,disagreement,grid
-20.25,137.5,paint,1,mid_center,disagreement,grid
-20,137.5,paint,1,mid_center,disagreement,grid
-19.75,137.5,paint,1,mid_center,disagreement,grid
-19.5,137.5,paint,1,mid_center,disagreement,grid
-19.25,137.5,paint,1,mid_center,disagreement,grid
-19,137.5,paint,1,mid_center,disagreement,grid
-18.75,137.5,paint,1,mid_center,disagreement,grid
-18.5,137.5,paint,1,mid_center,disagreement,grid
-18.25,137.5,paint,1,mid_center,disagreement,grid
-18,137.5,paint,1,mid_center,disagreement,grid
-17.75,137.5,paint,1,mid_center,disagreement,grid
-17.5,137.5,paint,1,mid_center,disagreement,grid
-17.25,137.5,paint,1,mid_center,disagreement,grid
-17,137.5,paint,1,mid_center,disagreement,grid
-16.75,137.5,paint,1,mid_center,disagreement,grid
-16.5,137.5,paint,1,mid_center,disagreement,grid
-16.25,137.5,paint,1,mid_center,disagreement,grid
-16,137.5,paint,1,mid_center,disagreement,grid
-15.75,-36.75,rim,1,paint,disagreement,grid
-15.75,36.75,rim,1,paint,disagreement,grid
-15.75,137.5,paint,1,mid_center,disagreement,grid
-15.5,137.5,paint,1,mid_center,disagreement,grid
