model_id,fit_source,fit_sha256,fit_reused,evaluation_time_fit_count
M1,data/cache/context_edition_m0_m1_preflight/context_m0_m1_preflight_v0.1.0/m1_fit.rds,a856e98b376cc0a3d5291c6e6599578dbaea04c6cb0aeb1bf6ce83ad0608f7ac,TRUE,0
M2,data/cache/context_edition_m2_training_preflight/context_m2_training_preflight_v0.1.0/m2_fit.rds,5c71318fc300b2f5a77ab41656a69af895a111280f26a1e3fe6035b1259ff43f,TRUE,0
