model_id,subgroup_axis,subgroup,shots,mean_prediction,observed_make_rate,signed_gap_observed_minus_predicted,absolute_gap,expected_points_per_shot,realized_points_per_shot,precision_claim_eligible
M1,point_value,three,86355,0.3585363308929677,0.36568814776214464,0.00715181686917693,0.00715181686917693,1.0756089926789032,1.0970644432864338,TRUE
M1,point_value,two,132345,0.5430906071959469,0.545241603385092,0.002150996189145049,0.002150996189145049,1.0861812143918939,1.090483206770184,TRUE
M1,finish_family,dunk,13019,0.8898443550976992,0.8906213994930486,7.770443953494244e-4,7.770443953494244e-4,1.7796887101953984,1.7812427989860973,TRUE
M1,finish_family,fadeaway_or_turnaround,11383,0.41806529936101855,0.416673987525257,-0.0013913118357615772,0.0013913118357615772,0.8467146363212962,0.8400245980848634,TRUE
M1,finish_family,floater,18348,0.4531447506298544,0.4486592544146501,-0.0044854962152042765,0.0044854962152042765,0.9087310081838883,0.8979725310660562,TRUE
M1,finish_family,hook,6535,0.48839530685272875,0.47314460596786534,-0.01525070088486341,0.01525070088486341,0.9767906137054575,0.9462892119357307,TRUE
M1,finish_family,layup,59931,0.5671456654159894,0.5681366905274399,9.910251114504387e-4,9.910251114504387e-4,1.1342913308319789,1.1362733810548797,TRUE
M1,finish_family,regular_jumper,98373,0.37329620483270515,0.3840383031929493,0.010742098360244146,0.010742098360244146,1.0332439361777002,1.062344342451689,TRUE
M1,finish_family,step_back,11111,0.3847693866505167,0.3824138241382414,-0.002355562512275311,0.002355562512275311,1.0033034540346772,0.99369993699937,TRUE
M1,creation_family,drive_cut_or_roll,58429,0.5703696006747258,0.568519057317428,-0.0018505433572977292,0.0018505433572977292,1.1409026606074402,1.1371065737904122,TRUE
M1,creation_family,other_or_unknown,110470,0.43307701490825623,0.44297999456866116,0.009902979660404931,0.009902979660404931,1.076012604804768,1.104544220150267,TRUE
M1,creation_family,pull_up_or_self_created,39992,0.39266900799859517,0.3916533306661332,-0.0010156773324619395,0.0010156773324619395,0.979596300512209,0.9690438087617523,TRUE
M1,creation_family,putback,9809,0.608111842286817,0.6037312672035885,-0.004380575083228533,0.004380575083228533,1.216223684573634,1.207462534407177,TRUE
M1,player_training_volume,known_player,200731,0.47024073512599357,0.4762393451933184,0.005998610067324828,0.005998610067324828,1.0820200467510301,1.097374097673005,TRUE
M1,player_training_volume,unseen_player,17969,0.4699670688983251,0.4531693472090823,-0.016797721689242817,0.016797721689242817,1.081857720357329,1.0451332851021202,TRUE
M2,point_value,three,86355,0.35855577578682735,0.36568814776214464,0.007132371975317298,0.007132371975317298,1.075667327360482,1.0970644432864338,TRUE
M2,point_value,two,132345,0.5410491677926946,0.545241603385092,0.004192435592397348,0.004192435592397348,1.0820983355853893,1.090483206770184,TRUE
M2,finish_family,dunk,13019,0.8883867174324255,0.8906213994930486,0.002234682060623161,0.002234682060623161,1.776773434864851,1.7812427989860973,TRUE
M2,finish_family,fadeaway_or_turnaround,11383,0.4178588473764843,0.416673987525257,-0.001184859851227349,0.001184859851227349,0.8463807019216392,0.8400245980848634,TRUE
M2,finish_family,floater,18348,0.4535578866996268,0.4486592544146501,-0.004898632284976723,0.004898632284976723,0.9083775784737158,0.8979725310660562,TRUE
M2,finish_family,hook,6535,0.48766648352294856,0.47314460596786534,-0.014521877555083218,0.014521877555083218,0.9753329670458971,0.9462892119357307,TRUE
M2,finish_family,layup,59931,0.5631273135592135,0.5681366905274399,0.005009376968226342,0.005009376968226342,1.126254627118427,1.1362733810548797,TRUE
M2,finish_family,regular_jumper,98373,0.3732641685946488,0.3840383031929493,0.010774134598300511,0.010774134598300511,1.0332279202906225,1.062344342451689,TRUE
M2,finish_family,step_back,11111,0.3842284703978528,0.3824138241382414,-0.0018146462596114188,0.0018146462596114188,1.0038144531292148,0.99369993699937,TRUE
M2,creation_family,drive_cut_or_roll,58429,0.5672112737245305,0.568519057317428,0.0013077835928975157,0.0013077835928975157,1.1345155093626265,1.1371065737904122,TRUE
M2,creation_family,other_or_unknown,110470,0.4331004298417195,0.44297999456866116,0.0098795647269416809,0.0098795647269416809,1.0764899266614487,1.104544220150267,TRUE
M2,creation_family,pull_up_or_self_created,39992,0.39138861128901586,0.3916533306661332,2.647193771173617e-4,2.647193771173617e-4,0.9759913433362587,0.9690438087617523,TRUE
M2,creation_family,putback,9809,0.604509204797632,0.6037312672035885,-7.779375940435429e-4,7.779375940435429e-4,1.209018409595264,1.207462534407177,TRUE
M2,player_training_volume,known_player,200731,0.4691904169839326,0.4762393451933184,0.007048928209385796,0.007048928209385796,1.07995129492453,1.097374097673005,TRUE
M2,player_training_volume,unseen_player,17969,0.46675800200310863,0.4531693472090823,-0.013588654794026322,0.013588654794026322,1.0751768543473155,1.0451332851021202,TRUE
M1,distance_band,long_heave_30_plus,2028,0.3633249967488887,0.20710059171597633,-0.15622440503291235,0.15622440503291235,1.0899749902466662,0.621301775147929,TRUE
M1,distance_band,midrange_10_to_under_22,32797,0.43610058403455104,0.43278348629447816,-0.003317097740072883,0.003317097740072883,0.8722771537282523,0.86562795377626,TRUE
M1,distance_band,other_paint_4_to_under_10,34149,0.4970365020653267,0.4335998125860201,-0.06343668947930658,0.06343668947930658,0.9940730041306534,0.8671996251720402,TRUE
M1,distance_band,restricted_0_to_under_4,64669,0.6229230667938526,0.663130711778441,0.0402076449845884,0.0402076449845884,1.2458461335877051,1.326261423556882,TRUE
M1,distance_band,three_point_distance_22_to_under_30,85057,0.35905341124306533,0.3695639394758809,0.010510528232815564,0.010510528232815564,1.0734225479313302,1.105435178762477,TRUE
M2,distance_band,long_heave_30_plus,2028,0.24473108386613804,0.20710059171597633,-0.037630492150161704,0.037630492150161704,0.7341932515984141,0.621301775147929,TRUE
M2,distance_band,midrange_10_to_under_22,32797,0.4103004750786709,0.43278348629447816,0.022483011215807258,0.022483011215807258,0.8206921882930285,0.86562795377626,TRUE
M2,distance_band,other_paint_4_to_under_10,34149,0.4534624497641702,0.4335998125860201,-0.019862637178150122,0.019862637178150122,0.9069248995283404,0.8671996251720402,TRUE
M2,distance_band,restricted_0_to_under_4,64669,0.6553108756664645,0.663130711778441,0.007819836111976453,0.007819836111976453,1.310621751332929,1.326261423556882,TRUE
M2,distance_band,three_point_distance_22_to_under_30,85057,0.36154236094488046,0.3695639394758809,0.00802157853100044,0.00802157853100044,1.0812419228591676,1.105435178762477,TRUE
