finish_family,player_family_series,adjacent_season_pairs,median_absolute_attempt_change,p90_absolute_attempt_change,median_relative_attempt_change
dunk,821,1434,9,42,0.5
fadeaway_or_turnaround,823,1416,7,33,0.5
floater,909,1614,12,49,0.5100512416239653
hook,775,1229,4,24,0.5
layup,988,1749,37,117.20000000000005,0.4069767441860465
regular_jumper,990,1746,57.5,197.5,0.4181652153063671
step_back,769,1266,8,37,0.5
