season,source,release_year,cached_sha256,regular_season_like_games_in_release,nba_team_games_in_release,shot_chart_games,crosswalked_games,ambiguous_crosswalk_rows
2021-22,hoopR SportsDataverse ESPN play-by-play release,2022,aa8a2da6fd5ca6c2f0e00ee95cd19b0c56dd000ad7d9099f934dcede985c58fe,1231,1230,1230,1230,0
2022-23,hoopR SportsDataverse ESPN play-by-play release,2023,1a7d60cf352bf3e812420efade6fa666a27365a120f756a789e1efb555577f26,1231,1230,1230,1230,0
2023-24,hoopR SportsDataverse ESPN play-by-play release,2024,707c25334f387e78dc7a4f13834b6949187cc1537a882315491c22503c51ad54,1232,1231,1230,1230,0
2024-25,hoopR SportsDataverse ESPN play-by-play release,2025,dd7e833a625f789b97fd03bd1264e5c99c6d17950063ec57288b9e8ae1900310,1234,1231,1230,1230,0
2025-26,hoopR SportsDataverse ESPN play-by-play release,2026,b646c28e76840498640bc0a9197ce2680b7041a8f21c8613372f9c2a9bc7a850,1234,1230,1230,1229,0
