season,ACTION_TYPE,creation_family,finish_family,shots,share
2021-22,Turnaround Hook Shot,other_or_unknown,hook,2330,0.010751100488183018
2021-22,Turnaround Jump Shot,other_or_unknown,fadeaway_or_turnaround,3080,0.014211755151761242
2022-23,Alley Oop Dunk Shot,drive_cut_or_roll,dunk,1558,0.007172451892090968
2022-23,Alley Oop Layup shot,drive_cut_or_roll,layup,795,0.0036598839885830033
2022-23,Cutting Dunk Shot,drive_cut_or_roll,dunk,3341,0.015380720007365805
2022-23,Cutting Finger Roll Layup Shot,drive_cut_or_roll,layup,678,0.0031212595525273914
2022-23,Cutting Layup Shot,drive_cut_or_roll,layup,5518,0.02540281742012706
2022-23,Driving Bank Hook Shot,drive_cut_or_roll,hook,393,0.0018092256698278243
2022-23,Driving Dunk Shot,drive_cut_or_roll,dunk,1939,0.008926434030015652
2022-23,Driving Finger Roll Layup Shot,drive_cut_or_roll,layup,5516,0.02539361016480987
2022-23,Driving Floating Bank Jump Shot,drive_cut_or_roll,floater,3356,0.015449774422244728
2022-23,Driving Floating Jump Shot,drive_cut_or_roll,floater,11246,0.051772396648559066
2022-23,Driving Hook Shot,drive_cut_or_roll,hook,1500,0.006905441487892459
2022-23,Driving Layup Shot,drive_cut_or_roll,layup,19169,0.08824693858760703
2022-23,Driving Reverse Dunk Shot,drive_cut_or_roll,dunk,41,1.887487340023939e-4
2022-23,Driving Reverse Layup Shot,drive_cut_or_roll,layup,2218,0.010210846146763649
2022-23,Dunk Shot,other_or_unknown,dunk,1637,0.007536138477119971
2022-23,Fadeaway Bank shot,other_or_unknown,fadeaway_or_turnaround,182,8.378602338642851e-4
2022-23,Fadeaway Jump Shot,other_or_unknown,fadeaway_or_turnaround,3923,0.01806003130466808
2022-23,Finger Roll Layup Shot,other_or_unknown,layup,405,0.001864469201730964
2022-23,Floating Jump shot,other_or_unknown,floater,4331,0.019938311389374828
2022-23,Hook Bank Shot,other_or_unknown,hook,142,6.537151275204862e-4
2022-23,Hook Shot,other_or_unknown,hook,1874,0.008627198232206978
2022-23,Jump Bank Shot,other_or_unknown,regular_jumper,451,0.0020762360740263328
