finish_family,player_season_rows,multi_team_player_season_rows,spearman_attempts_vs_mean_distance,spearman_attempts_vs_three_point_share
dunk,2301,222,0.06134945875945873,
fadeaway_or_turnaround,2304,234,0.13363269421680177,0.324912486535969
floater,2565,292,0.12054392950048301,0.25432584793937507
hook,2075,181,0.09653533417201487,
layup,2776,352,0.11505933428649501,
regular_jumper,2785,365,0.05997367495766861,-0.05919036609618361
step_back,2099,210,-0.08762834752432536,-0.15837783934954336
