season,crosswalked_games,shot_chart_attempts_in_crosswalked_games,pbp_field_goal_events_in_crosswalked_games,pbp_heave_events_in_crosswalked_games,unique_player_clock_matches,unique_match_rate_of_shot_chart,result_agreement_rate,point_value_comparable_rows,point_value_agreement_rate,distance_comparable_rows,distance_mean_absolute_error_feet,coordinate_comparable_rows,coordinate_within_one_foot_both_axes_rate,coordinate_x_mean_absolute_error_tenths_feet,coordinate_y_mean_absolute_error_tenths_feet
2021-22,1230,216722,216715,0,191079,0.8816779099491514,1,160174,0.9999812703684743,126579,0.6701664573112444,191079,0.9999581325001701,2.425567435458632,3.3662568885120847
2022-23,1230,217220,217161,0,194530,0.89554368842648,1,162082,0.9999568119840575,126752,0.6718631658672053,194530,0.9998612039274148,2.4159101423944884,3.372179098339575
2023-24,1230,218700,218687,0,196152,0.8968998628257887,1,167022,0.9999401276478548,141736,0.11654061071287464,196152,0.9992607773563359,2.4451700721889265,3.3847424446347665
2024-25,1230,219527,219527,0,197846,0.9012376609710878,1,171366,0.999918303514116,144731,0.0844877738701453,197846,0.9992266712493556,2.4611869838157,3.399396500308328
2025-26,1229,218976,220087,1099,194162,0.8866816454771299,1,166510,0.9999099153204012,142517,0.061010265442017445,194162,0.9994180117633729,2.4488159372070655,3.3832212276346607
