season,type_text,events,share
2021-22,Out of Bounds - Lost Ball Turnover,1848,0.00321518234155049
2021-22,Out of Bounds - Step Turnover,865,0.0015049419509963063
2021-22,Palming Turnover,67,1.1656775805404916e-4
2021-22,Personal Foul,15005,0.026105958352253846
2021-22,Personal Take Foul,2840,0.004941081087664174
2021-22,Pullup Bank Jump Shot,525,9.134040743041166e-4
2021-22,Pullup Jump Shot,25753,0.0448055145248646
2021-22,Punched Ball Turnover,3,5.2194518531663805e-6
2021-22,Putback Dunk Shot,520,9.047049878821726e-4
2021-22,Reverse Dunk Shot,125,2.1747716054859917e-4
2021-22,Reverse Layup Shot,1422,0.0024740201784008643
2021-22,Running Alley Oop Dunk Shot,381,6.628703853521303e-4
2021-22,Running Alley Oop Layup Shot,129,2.2443642968615436e-4
2021-22,Running Dunk Shot,2206,0.0038380369293616783
2021-22,Running Finger Roll Layup,1207,0.002099959462257274
2021-22,Running Jump Shot,2947,0.005127241537093774
2021-22,Running Layup Shot,5151,0.008961798831886676
2021-22,Running Pullup Jump Shot,1819,0.0031647276403032154
2021-22,Running Reverse Dunk Shot,35,6.089360495360777e-5
2021-22,Shooting Foul,23302,0.04054122236082767
2021-22,Shot Clock Turnover,1651,0.002872438336525898
2021-22,Step Back Bank Jump Shot,78,1.357057481823259e-4
2021-22,Step Back Jump Shot,10327,0.01796709309588307
2021-22,Substitution,66562,0.11580571808348687
2021-22,Technical Foul,1003,0.00174503673624196
2021-22,Tip Dunk Shot,718,0.0012491888101911538
2021-22,Tip Shot,4473,0.007782202713071073
2021-22,Too Many Players Technical,3,5.2194518531663805e-6
2021-22,Too Many Players Turnover,1,1.7398172843887935e-6
2021-22,Traveling,1557,0.0027088955117933514
2021-22,Turnaround Bank Jump Shot,333,5.793591557014682e-4
2021-22,Turnaround Fade Away Jump Shot,2983,0.005189874959331771
2021-22,Turnaround Fadeaway Bank Jump Shot,86,1.4962428645743625e-4
2021-22,Turnaround Hook Shot,2330,0.0040537742726258885
2021-22,Turnaround Jump Shot,3081,0.005360377053201873
2022-23,3-Second Turnover,149,2.571767857389431e-4
2022-23,5-Second Back to the Basket Turnover,1,1.7260186962345175e-6
2022-23,5-Second Turnover,51,8.80269535079604e-5
2022-23,8-Second Turnover,35,6.041065436820812e-5
2022-23,Alley Oop Dunk Shot,1564,0.0026994932409107855
2022-23,Alley Oop Layup Shot,794,0.001370458844810207
2022-23,Away from Play Foul,103,1.7777992571215532e-4
2022-23,Back Court Turnover,213,3.676419822979523e-4
2022-23,"Bad Pass
Turnover",11676,0.020152994297234227
2022-23,Basket from Below Turnover,2,3.452037392469035e-6
2022-23,Challenge,197,3.4002568315819997e-4
2022-23,Clear Path Foul,25,4.315046740586294e-5
2022-23,Coach's Challenge (Overturned),422,7.283798898109665e-4
2022-23,Coach's Challenge (Stands),194,3.348476270694964e-4
2022-23,Coach's Challenge (Supported),183,3.158614214109167e-4
2022-23,Coach's Challenge (replaycenter),1,1.7260186962345175e-6
2022-23,Cutting Dunk Shot,3349,0.0057804366136893996
2022-23,Cutting Finger Roll Layup Shot,677,0.0011685146573507685
2022-23,Cutting Layup Shot,5512,0.009513815053644662
2022-23,Defensive 3-Seconds Technical,400,6.904074784938071e-4
2022-23,Defensive Goaltending,606,0.0010459673299181176
2022-23,Defensive Rebound,86651,0.1495612460474172
2022-23,Delay Technical,70,1.2082130873641623e-4
2022-23,Delay of Game,591,0.0010200770494745999
2022-23,Disc Dribble Turnover,115,1.9849215006696952e-4
2022-23,Double Dribble Turnover,93,1.6051973874981013e-4
2022-23,Double Lane,6,1.0356112177407105e-5
2022-23,Double Personal Foul,16,2.761629913975228e-5
2022-23,Double Technical Foul,51,8.80269535079604e-5
2022-23,Driving Dunk Shot,1962,0.0033864486820121237
2022-23,Driving Finger Roll Layup,5516,0.009520719128429599
2022-23,Driving Floating Bank Jump Shot,2892,0.004991646069510225
2022-23,Driving Floating Jump Shot,11247,0.01941253227654962
2022-23,Driving Hook Shot,1499,0.002587302025655542
2022-23,Driving Jump Shot Bank,463,7.991466563565816e-4
2022-23,Driving Layup Shot,19193,0.033127476836829095
2022-23,Driving Reverse Dunk Shot,44,7.594482263431878e-5
2022-23,Dunk Shot,1647,0.0028427527926982504
2022-23,Ejection,83,1.4325955178746497e-4
2022-23,End Game,1228,0.0021195509589759876
2022-23,End Period,5010,0.008647353668134933
2022-23,Excess Timeout Technical,2,3.452037392469035e-6
2022-23,Excess Timeout Turnover,2,3.452037392469035e-6
2022-23,Fade Away Bank Jump Shot,186,3.2103947749962026e-4
2022-23,Fade Away Jump Shot,3924,0.006772897364024247
2022-23,Finger Roll Layup,405,6.990375719749796e-4
2022-23,Flagrant Foul Type 1,177,3.055053092335096e-4
