season,source,field,storage_type,rows,missing_rows,missing_pct
2024-25,NBA ShotChartDetail local extract,MINUTES_REMAINING,integer,219527,0,0
2024-25,NBA ShotChartDetail local extract,SECONDS_REMAINING,integer,219527,0,0
2024-25,NBA ShotChartDetail local extract,EVENT_TYPE,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,ACTION_TYPE,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,SHOT_TYPE,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,SHOT_ZONE_BASIC,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,SHOT_ZONE_AREA,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,SHOT_ZONE_RANGE,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,SHOT_DISTANCE,integer,219527,0,0
2024-25,NBA ShotChartDetail local extract,LOC_X,integer,219527,0,0
2024-25,NBA ShotChartDetail local extract,LOC_Y,integer,219527,0,0
2024-25,NBA ShotChartDetail local extract,SHOT_ATTEMPTED_FLAG,integer,219527,0,0
2024-25,NBA ShotChartDetail local extract,SHOT_MADE_FLAG,integer,219527,0,0
2024-25,NBA ShotChartDetail local extract,GAME_DATE,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,HTM,character,219527,0,0
2024-25,NBA ShotChartDetail local extract,VTM,character,219527,0,0
2025-26,NBA ShotChartDetail local extract,GRID_TYPE,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,GAME_ID,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,GAME_EVENT_ID,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,PLAYER_ID,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,PLAYER_NAME,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,TEAM_ID,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,TEAM_NAME,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,PERIOD,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,MINUTES_REMAINING,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,SECONDS_REMAINING,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,EVENT_TYPE,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,ACTION_TYPE,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,SHOT_TYPE,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,SHOT_ZONE_BASIC,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,SHOT_ZONE_AREA,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,SHOT_ZONE_RANGE,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,SHOT_DISTANCE,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,LOC_X,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,LOC_Y,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,SHOT_ATTEMPTED_FLAG,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,SHOT_MADE_FLAG,integer,219160,0,0
2025-26,NBA ShotChartDetail local extract,GAME_DATE,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,HTM,character,219160,0,0
2025-26,NBA ShotChartDetail local extract,VTM,character,219160,0,0
