comparison_id,training_seasons,validation_season,m1_fit_reusable,m1_fit_sha256,m2_fit_reusable,m2_fit_sha256,validation_outcomes_accessed,prospective_2026_27_accessed
development_1,2021-22;2022-23,2023-24,TRUE,a856e98b376cc0a3d5291c6e6599578dbaea04c6cb0aeb1bf6ce83ad0608f7ac,TRUE,5c71318fc300b2f5a77ab41656a69af895a111280f26a1e3fe6035b1259ff43f,FALSE,FALSE
development_2,2021-22;2022-23;2023-24,2024-25,TRUE,17d31cb4c157f31d262f079f1a3703acb0f8cc7de21f9009a691cfca97fa2576,FALSE,not_yet_fit,FALSE,FALSE
development_3,2021-22;2022-23;2023-24;2024-25,2025-26,TRUE,24bf051f847825bb835fda7025aea119b89b5e9a2a93b252f3a5eeb0b765db4f,FALSE,not_yet_fit,FALSE,FALSE
