point_value,diagnostic,rows,recorded_min_feet,recorded_max_feet,coordinate_min_feet,coordinate_max_feet
2,point_value_distance_range,650851,0,24,0,24.003333101883996
3,point_value_distance_range,440478,21,88,21.9,88.31245665250175
3,22_foot_corner_three_geometry,34064,22,22,22.027482833950863,22.99956521328175
2,two_point_attempts_at_least_22_feet,4022,22,24,22,24.003333101883996
