comparison_id,training_seasons,training_shots,players,training_distance_min,training_distance_max,d1_grouped_rows,m2_grouped_rows,d1_nominal_coefficients,m2_nominal_coefficients,smooth_terms_each,distance_basis_dimension,distance_centered_coefficients,smoothing_parameters_each
development_1,2021-22;2022-23,433942,700,0,88,18396,57190,711,720,2,10,9,2
development_2,2021-22;2022-23;2023-24,652642,808,0,88,21636,69649,819,828,2,10,9,2
development_3,2021-22;2022-23;2023-24;2024-25,872169,913,0,88,24951,81746,924,933,2,10,9,2
