season,rows,players,unique_recorded_distances,recorded_min_feet,recorded_max_feet,coordinate_max_feet,recorded_mean_feet,coordinate_mean_feet,absolute_gap_mean_feet,absolute_gap_p95_feet,floor_match_share,within_one_foot_share,three_point_min_feet,three_point_max_feet,two_point_max_feet
2021-22,216722,596,85,0,88,88.312456652502,13.803979291442,14.283814350496,0.479835059053,0.939352343495,1,1,21,88,23
2022-23,217220,537,81,0,82,82.002987750447,13.457757112605,13.936436846338,0.478679733733,0.940110771265,1,1,21,82,23
2023-24,218700,568,83,0,84,84.61796499562,13.534641060814,14.013051646819,0.478410586005,0.938462774372,1,1,21,84,23
2024-25,219527,566,86,0,85,85.095299517658,14.003616867174,14.484534948372,0.480918081199,0.940812099048,1,1,21,85,23
2025-26,219160,582,60,0,73,73.419684009127,13.814551012959,14.293473927029,0.478922914071,0.940214188558,1,1,21,73,24
